# id;sud;brojPredmeta;tipKrivicnogDjela;clanKZ;iznos;ranijeOsudjivan;uslovnaOsuda;vrstaPresude;zaposlenost;bracniStatus;kaznaUMjesecima;novcanaKazna;obrazovanje;ukupanIznos;brojTransakcija;brojOkrivljenih;brojSvjedoka;brojDokaza;priznanje;pokusaj;saizvrsilastvo
0;Rožaje;100/10;falsifikovanje novca;čl. 258;848.0;ne;Ne;oslobadjajuca;nezaposlen;neozenjen;6.0;848.0;SSS;2192.0;18;1;1;10;ne;ne;ne
1;Rožaje;100/16;falsifikovanje novca;čl. 258;848.0;ne;Ne;osudjujuca;nezaposlen;neozenjen;6.0;0.0;SSS;1331.0;10;1;0;7;ne;ne;ne
2;Pljevlja;107/20;zloupotreba platnih kartica;čl. 260 st. 2;700.0;ne;Da;uslovna;zaposlen;razveden;3.0;27.5;osnovna;2297.5;9;1;2;4;da;ne;ne
3;Rožaje;109/13;falsifikovanje novca;čl. 258;100.0;da;Ne;osudjujuca;nezaposlen;neozenjen;24.0;70.0;SSS;459.0;7;1;0;7;ne;ne;ne
4;Ulcinj;110/16;falsifikovanje novca;čl. 258;300.0;ne;Da;uslovna;zaposlen;razveden;3.0;0.0;nepoznat;650.0;6;1;0;5;ne;ne;ne
5;Bijelo Polje;118/19;falsifikovanje novca;čl. 258;119.0;ne;Ne;osudjujuca;nepoznat;razveden;2.0;0.0;VSS;226.229;5;2;0;1;da;ne;da
6;Plav;120/14;falsifikovanje novca;čl. 75;670.0;ne;Ne;osudjujuca;zaposlen;ozenjen;6.0;0.0;pismen;3360.0;18;2;1;10;ne;ne;ne
7;Ulcinj;126/15;falsifikovanje novca;čl. 258 st. 4;300.0;ne;Da;uslovna;zaposlen;razveden;5.0;0.0;pismen;650.0;6;1;1;4;ne;ne;ne
8;Pljevlja;12/14;zloupotreba platnih kartica;čl. 260 st. 2;50.0;da;Ne;osudjujuca;zaposlen;ozenjen;1.0;0.0;SSS;77.5;2;1;0;1;ne;ne;ne
9;Kotor;12/2016;zloupotreba platnih kartica;čl. 260 st. 2;1001.75;da;Da;uslovna;zaposlen;neozenjen;6.0;0.0;SSS;2620.75;6;1;0;1;ne;ne;ne
10;Podgorica;12/22;falsifikovanje novca;čl. 258;50.0;ne;Da;uslovna;nepoznat;neozenjen;12.0;0.0;SSS;100.0;2;1;0;0;ne;ne;ne
11;Bar;131/18;zloupotreba platnih kartica;čl. 260 st. 2;980.0;nepoznat;Da;uslovna;nepoznat;razveden;10.0;0.0;nepoznat;2715.0;10;20;0;32;ne;ne;da
12;Bijelo Polje;135/12;falsifikovanje novca;čl. 258 st. 4;700.0;ne;Ne;nepoznat;nezaposlen;neozenjen;0.0;700.0;SSS;2170.45;21;1;3;10;ne;ne;ne
13;Herceg Novi;136/11;zloupotreba platnih kartica;čl. 260 st. 2;30.0;nepoznat;Da;uslovna;nepoznat;nepoznat;6.0;0.0;nepoznat;30.0;1;2;0;0;ne;ne;da
14;Bijelo Polje;136/18;zloupotreba platnih kartica;čl. 260 st. 2;770.0;da;Da;uslovna;nepoznat;razveden;12.0;548.5;VSS;3588.5;12;1;0;6;ne;ne;ne
15;Bar;139/15;zloupotreba platnih kartica;čl. 239;217.75;ne;Da;uslovna;nezaposlen;razveden;6.0;0.0;pismen;1252.25;19;1;5;6;ne;ne;ne
16;Bar;13/24;zloupotreba platnih kartica;čl. 260 st. 2;215.75;nepoznat;Da;uslovna;nepoznat;razveden;4.0;0.0;nepoznat;433.36;10;1;0;1;ne;ne;ne
17;Bijelo Polje;140/11;falsifikovanje novca;čl. 258;675.0;da;Ne;osudjujuca;nepoznat;neozenjen;0.0;0.0;SSS;1113.735;10;2;0;7;ne;ne;ne
18;Berane;147/18;zloupotreba platnih kartica;čl. 260 st. 2;408.0;ne;Ne;osudjujuca;nezaposlen;ozenjen;8.0;0.0;pismen;1233.0;8;1;1;4;ne;ne;ne
19;Kotor;149/15;falsifikovanje novca;čl. 258;321.0;nepoznat;Ne;osudjujuca;nepoznat;ozenjen;8.0;0.0;nepoznat;809.0;9;1;0;6;ne;ne;ne
20;Pljevlja;14/19;zloupotreba platnih kartica;čl. 260 st. 2;130.0;da;Da;uslovna;nezaposlen;neozenjen;3.0;0.0;SSS;367.5;7;2;0;8;ne;ne;da
21;Bijelo Polje;160/2013;falsifikovanje novca;čl. 49;500.0;ne;Ne;osudjujuca;zaposlen;neozenjen;6.0;0.0;pismen;1468.75;10;1;4;8;ne;ne;ne
